object_count,slot_ave_accuracy,object_descriptor_accuracy,relation_pair_accuracy,relation_slot_accuracy,attribute_accuracy,n_samples,model
3,0.4841112792457222,0.12633376013657702,0.10371318822023047,0.3265044814340589,0.5191350120927586,781,SimpleCNN
4,0.43997509339975094,0.10867579908675798,0.09178082191780822,0.2842465753424658,0.4745814307458143,730,SimpleCNN
5,0.41161274449501783,0.09291835814163282,0.09066305818673884,0.2807848443843031,0.4406856111862878,739,SimpleCNN
3,0.46187871027819805,0.11651728553137004,0.13444302176696543,0.3444302176696543,0.4879783753023189,781,DeeperCNN
4,0.43897882938978827,0.10547945205479452,0.10684931506849316,0.3232876712328767,0.46468797564687975,730,DeeperCNN
5,0.40755320457620864,0.08119079837618404,0.10013531799729364,0.29161028416779433,0.4333182980003007,739,DeeperCNN
3,0.48620649516936326,0.14127187366623986,0.13316261203585147,0.34571062740076824,0.5174277991179399,781,ResNet18
4,0.4418430884184309,0.09954337899543378,0.12465753424657534,0.3041095890410959,0.47245053272450527,730,ResNet18
5,0.41358100627383443,0.09652683806946323,0.09472259810554803,0.2516914749661705,0.44955645767553754,739,ResNet18
