has_overlapping,slot_ave_accuracy,object_descriptor_accuracy,relation_pair_accuracy,relation_slot_accuracy,attribute_accuracy,n_samples,model
0,0.4342194955691888,0.11020222676664394,0.07702794819359236,0.22733469665985004,0.48019389532681966,1467,SimpleCNN
1,0.468013468013468,0.10855683269476372,0.13026819923371646,0.429757343550447,0.47651482900525044,783,SimpleCNN
0,0.436512362892731,0.10111338332197227,0.10770279481935924,0.3006134969325153,0.46671211088389,1467,DeeperCNN
1,0.4367816091954023,0.10174542358450403,0.12643678160919541,0.3569604086845466,0.45451965375337017,783,DeeperCNN
0,0.44574580157402244,0.11065666893887752,0.12678936605316973,0.2876618950238582,0.48087555858517006,1467,ResNet18
1,0.4521072796934866,0.11749680715197956,0.10089399744572158,0.3269476372924649,0.4799205335603803,783,ResNet18
