model,slot_ave_drop_3_to_5,object_descriptor_drop_3_to_5,relation_pair_drop_3_to_5,overlap_penalty_slot_ave,overlap_penalty_object_descriptor,overlap_penalty_relation_pair
DeeperCNN,0.05432550570198941,0.03532648715518601,0.034307703769671793,-0.0002692463026713332,-0.0006320402625317606,-0.018733986789836177
ResNet18,0.07262548889552883,0.04474503559677663,0.03844001393030344,-0.006361478119464137,-0.0068401382131020455,0.02589536860744815
SimpleCNN,0.07249853475070439,0.033415401994944194,0.013050130033491633,-0.033793972444279174,0.0016453940718802185,-0.0532402510401241
