relation_pair_type,slot_ave_accuracy,object_descriptor_accuracy,relation_pair_accuracy,relation_slot_accuracy,attribute_accuracy,n_samples,model
mixed_relation,0.44549306625577806,0.10687382297551788,0.016242937853107344,0.2842514124293785,0.4813245448838669,1416,SimpleCNN
same_relation,0.4468061914105079,0.11430855315747401,0.2302158273381295,0.3207434052757794,0.4748201438848921,834,SimpleCNN
mixed_relation,0.4291217257318952,0.10193032015065911,0.03248587570621469,0.2775423728813559,0.4628060263653484,1416,DeeperCNN
same_relation,0.4493132766514061,0.10031974420463628,0.2529976019184652,0.39268585131894485,0.46189714894750866,834,DeeperCNN
mixed_relation,0.44324601951720594,0.11299435028248588,0.01765536723163842,0.2574152542372881,0.48454174513496545,1416,ResNet18
same_relation,0.45596250272509264,0.11310951239008793,0.28776978417266186,0.37589928057553956,0.4737543298694378,834,ResNet18
